nuts2_code,nuts2_label,nuts1_code,nuts1_label
ITC1,Piemonte,ITC,Nord-Ovest / North-West
ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",ITC,Nord-Ovest / North-West
ITC3,Liguria,ITC,Nord-Ovest / North-West
ITC4,Lombardia,ITC,Nord-Ovest / North-West
ITD1,Provincia Autonoma Bolzano / Bozen,ITD,Nord-Est / North-East
ITD2,Provincia Autonoma Trento,ITD,Nord-Est / North-East
ITD3,Veneto,ITD,Nord-Est / North-East
ITD4,Friuli-Venezia Giulia,ITD,Nord-Est / North-East
ITD5,Emilia-Romagna,ITD,Nord-Est / North-East
ITE1,Toscana,ITE,Centro / Center
ITE2,Umbria,ITE,Centro / Center
ITE3,Marche,ITE,Centro / Center
ITE4,Lazio,ITE,Centro / Center
ITF1,Abruzzo,ITF,Sud / South
ITF2,Molise,ITF,Sud / South
ITF3,Campania,ITF,Sud / South
ITF4,Puglia,ITF,Sud / South
ITF5,Basilicata,ITF,Sud / South
ITF6,Calabria,ITF,Sud / South
ITG1,Sicilia,ITG,Isole / Islands
ITG2,Sardegna,ITG,Isole / Islands
